iteration_number,current_solution_objective,global_best_objective,was_worsening_move
198,7740.83,7745.98,False
199,7745.98,7745.98,False
200,7741.75,7745.98,True
201,7738.81,7745.98,True
202,7736.52,7745.98,True
203,7737.54,7745.98,False
204,7733.49,7745.98,True
205,7733.17,7745.98,True
206,7733.05,7745.98,True
207,7736.09,7745.98,False
208,7733.88,7745.98,True
209,7738.65,7745.98,False
210,7740.83,7745.98,False
211,7745.98,7745.98,False
212,7741.75,7745.98,True
213,7738.81,7745.98,True
214,7736.52,7745.98,True
215,7737.54,7745.98,False
216,7733.49,7745.98,True
217,7733.17,7745.98,True
218,7733.05,7745.98,True
219,7736.09,7745.98,False
220,7733.88,7745.98,True
221,7738.65,7745.98,False
222,7740.83,7745.98,False
223,7745.98,7745.98,False
224,7741.75,7745.98,True
225,7738.81,7745.98,True
226,7736.52,7745.98,True
227,7737.54,7745.98,False
228,7733.49,7745.98,True
229,7733.17,7745.98,True
230,7733.05,7745.98,True
231,7736.09,7745.98,False
232,7733.88,7745.98,True
233,7738.65,7745.98,False
234,7740.83,7745.98,False
235,7745.98,7745.98,False
236,7741.75,7745.98,True
237,7738.81,7745.98,True
238,7736.52,7745.98,True
239,7737.54,7745.98,False
240,7733.49,7745.98,True
241,7733.17,7745.98,True
242,7733.05,7745.98,True
243,7736.09,7745.98,False
244,7733.88,7745.98,True
245,7738.65,7745.98,False
246,7740.83,7745.98,False
247,7745.98,7745.98,False
248,7741.75,7745.98,True
249,7738.81,7745.98,True
250,7736.52,7745.98,True
251,7737.54,7745.98,False
252,7733.49,7745.98,True
253,7733.17,7745.98,True
254,7733.05,7745.98,True
255,7736.09,7745.98,False
256,7733.88,7745.98,True
257,7738.65,7745.98,False
258,7740.83,7745.98,False
259,7745.98,7745.98,False
260,7741.75,7745.98,True
261,7738.81,7745.98,True
262,7736.52,7745.98,True
263,7737.54,7745.98,False
264,7733.49,7745.98,True
265,7733.17,7745.98,True
266,7733.05,7745.98,True
267,7736.09,7745.98,False
268,7733.88,7745.98,True
269,7738.65,7745.98,False
270,7740.83,7745.98,False
271,7745.98,7745.98,False
272,7741.75,7745.98,True
273,7738.81,7745.98,True
274,7736.52,7745.98,True
275,7737.54,7745.98,False
276,7733.49,7745.98,True
277,7733.17,7745.98,True
278,7733.05,7745.98,True
279,7736.09,7745.98,False
280,7733.88,7745.98,True
281,7738.65,7745.98,False
282,7740.83,7745.98,False
283,7745.98,7745.98,False
284,7741.75,7745.98,True
285,7738.81,7745.98,True
286,7736.52,7745.98,True
287,7737.54,7745.98,False
288,7733.49,7745.98,True
289,7733.17,7745.98,True
290,7733.05,7745.98,True
291,7736.09,7745.98,False
292,7733.88,7745.98,True
293,7738.65,7745.98,False
294,7740.83,7745.98,False
295,7745.98,7745.98,False
296,7741.75,7745.98,True
297,7738.81,7745.98,True
298,7736.52,7745.98,True
299,7737.54,7745.98,False
300,7733.49,7745.98,True
301,7733.17,7745.98,True
302,7733.05,7745.98,True
303,7736.09,7745.98,False
304,7733.88,7745.98,True
305,7738.65,7745.98,False
306,7740.83,7745.98,False
307,7745.98,7745.98,False
308,7741.75,7745.98,True
309,7738.81,7745.98,True
310,7736.52,7745.98,True
311,7737.54,7745.98,False
312,7733.49,7745.98,True
313,7733.17,7745.98,True
314,7733.05,7745.98,True
315,7736.09,7745.98,False
316,7733.88,7745.98,True
317,7738.65,7745.98,False
318,7740.83,7745.98,False
319,7745.98,7745.98,False
320,7741.75,7745.98,True
321,7738.81,7745.98,True
322,7736.52,7745.98,True
323,7737.54,7745.98,False
