group,phase,instance,alpha,tenure,run,seed,of,elapsed_s
small,tenure_sweep,MDG-a_1_100_m10.txt,0.25,25,1,43,360.15,10.001
small,tenure_sweep,MDG-a_1_100_m10.txt,0.25,25,2,44,360.15,10.0
small,tenure_sweep,MDG-a_4_100_m10.txt,0.25,25,0,42,355.72,10.001
small,tenure_sweep,MDG-a_4_100_m10.txt,0.25,25,1,43,355.72,10.0
small,tenure_sweep,MDG-a_4_100_m10.txt,0.25,25,2,44,355.72,10.001
small,tenure_sweep,MDG-a_10_100_m10.txt,0.25,25,0,42,355.5,10.001
small,tenure_sweep,MDG-a_10_100_m10.txt,0.25,25,1,43,355.5,10.0
small,tenure_sweep,MDG-a_10_100_m10.txt,0.25,25,2,44,355.5,10.001
small,tenure_sweep,MDG-a_12_100_m10.txt,0.25,25,0,42,354.25,10.001
small,tenure_sweep,MDG-a_12_100_m10.txt,0.25,25,1,43,354.25,10.001
small,tenure_sweep,MDG-a_12_100_m10.txt,0.25,25,2,44,354.25,10.0
small,tenure_sweep,MDG-a_14_100_m10.txt,0.25,25,0,42,356.06,10.0
small,tenure_sweep,MDG-a_14_100_m10.txt,0.25,25,1,43,352.59,10.001
small,tenure_sweep,MDG-a_14_100_m10.txt,0.25,25,2,44,356.06,10.001
small,tenure_sweep,MDG-a_1_100_m10.txt,0.25,30,0,42,360.15,10.0
small,tenure_sweep,MDG-a_1_100_m10.txt,0.25,30,1,43,360.15,10.001
small,tenure_sweep,MDG-a_1_100_m10.txt,0.25,30,2,44,360.15,10.0
small,tenure_sweep,MDG-a_4_100_m10.txt,0.25,30,0,42,355.72,10.001
small,tenure_sweep,MDG-a_4_100_m10.txt,0.25,30,1,43,355.72,10.0
small,tenure_sweep,MDG-a_4_100_m10.txt,0.25,30,2,44,355.72,10.0
small,tenure_sweep,MDG-a_10_100_m10.txt,0.25,30,0,42,355.5,10.001
small,tenure_sweep,MDG-a_10_100_m10.txt,0.25,30,1,43,355.5,10.0
small,tenure_sweep,MDG-a_10_100_m10.txt,0.25,30,2,44,355.5,10.001
small,tenure_sweep,MDG-a_12_100_m10.txt,0.25,30,0,42,354.25,10.0
small,tenure_sweep,MDG-a_12_100_m10.txt,0.25,30,1,43,354.25,10.0
small,tenure_sweep,MDG-a_12_100_m10.txt,0.25,30,2,44,354.25,10.001
small,tenure_sweep,MDG-a_14_100_m10.txt,0.25,30,0,42,356.06,10.001
small,tenure_sweep,MDG-a_14_100_m10.txt,0.25,30,1,43,356.06,10.001
small,tenure_sweep,MDG-a_14_100_m10.txt,0.25,30,2,44,356.06,10.0
large,alpha_sweep,MDG-a_2_n500_m50.txt,0.1,15,0,42,7720.25,10.023
large,alpha_sweep,MDG-a_2_n500_m50.txt,0.1,15,1,43,7656.42,10.015
large,alpha_sweep,MDG-a_2_n500_m50.txt,0.1,15,2,44,7642.02,10.032
large,alpha_sweep,MDG-a_5_n500_m50.txt,0.1,15,0,42,7640.12,10.044
large,alpha_sweep,MDG-a_5_n500_m50.txt,0.1,15,1,43,7696.55,10.043
large,alpha_sweep,MDG-a_5_n500_m50.txt,0.1,15,2,44,7624.14,10.022
large,alpha_sweep,MDG-a_6_n500_m50.txt,0.1,15,0,42,7652.25,10.036
large,alpha_sweep,MDG-a_6_n500_m50.txt,0.1,15,1,43,7660.66,10.056
large,alpha_sweep,MDG-a_6_n500_m50.txt,0.1,15,2,44,7700.44,10.019
large,alpha_sweep,MDG-a_9_n500_m50.txt,0.1,15,0,42,7716.31,10.048
large,alpha_sweep,MDG-a_9_n500_m50.txt,0.1,15,1,43,7681.79,10.007
large,alpha_sweep,MDG-a_9_n500_m50.txt,0.1,15,2,44,7725.68,10.019
large,alpha_sweep,MDG-a_13_n500_m50.txt,0.1,15,0,42,7638.92,10.014
large,alpha_sweep,MDG-a_13_n500_m50.txt,0.1,15,1,43,7630.49,10.022
large,alpha_sweep,MDG-a_13_n500_m50.txt,0.1,15,2,44,7710.71,10.034
large,alpha_sweep,MDG-a_2_n500_m50.txt,0.25,15,0,42,7692.59,10.039
large,alpha_sweep,MDG-a_2_n500_m50.txt,0.25,15,1,43,7638.66,10.038
large,alpha_sweep,MDG-a_2_n500_m50.txt,0.25,15,2,44,7688.02,10.047
large,alpha_sweep,MDG-a_5_n500_m50.txt,0.25,15,0,42,7685.23,10.012
large,alpha_sweep,MDG-a_5_n500_m50.txt,0.25,15,1,43,7710.07,10.044
large,alpha_sweep,MDG-a_5_n500_m50.txt,0.25,15,2,44,7634.55,10.006
large,alpha_sweep,MDG-a_6_n500_m50.txt,0.25,15,0,42,7692.24,10.02
large,alpha_sweep,MDG-a_6_n500_m50.txt,0.25,15,1,43,7674.6,10.032
large,alpha_sweep,MDG-a_6_n500_m50.txt,0.25,15,2,44,7645.36,10.014
large,alpha_sweep,MDG-a_9_n500_m50.txt,0.25,15,0,42,7658.79,10.049
large,alpha_sweep,MDG-a_9_n500_m50.txt,0.25,15,1,43,7692.83,10.018
large,alpha_sweep,MDG-a_9_n500_m50.txt,0.25,15,2,44,7705.62,10.027
large,alpha_sweep,MDG-a_13_n500_m50.txt,0.25,15,0,42,7722.02,10.047
large,alpha_sweep,MDG-a_13_n500_m50.txt,0.25,15,1,43,7723.99,10.047
large,alpha_sweep,MDG-a_13_n500_m50.txt,0.25,15,2,44,7692.15,10.046
large,alpha_sweep,MDG-a_2_n500_m50.txt,0.5,15,0,42,7728.36,10.03
large,alpha_sweep,MDG-a_2_n500_m50.txt,0.5,15,1,43,7641.14,10.026
large,alpha_sweep,MDG-a_2_n500_m50.txt,0.5,15,2,44,7632.04,10.041
