group,phase,instance,alpha,tenure,avg_of,best_of,worst_of,std_of,avg_time_s,avg_dev_pct
small,tenure_sweep,MDG-a_4_100_m10.txt,0.25,30,355.72,355.72,355.72,0.0,10.0,0.0
small,tenure_sweep,MDG-a_10_100_m10.txt,0.25,30,355.5,355.5,355.5,0.0,10.001,0.0
small,tenure_sweep,MDG-a_12_100_m10.txt,0.25,30,354.25,354.25,354.25,0.0,10.0,0.0
small,tenure_sweep,MDG-a_14_100_m10.txt,0.25,30,356.06,356.06,356.06,0.0,10.001,0.0
large,alpha_sweep,MDG-a_2_n500_m50.txt,0.1,15,7672.9,7720.25,7642.02,41.6364,10.023,0.4696
large,alpha_sweep,MDG-a_5_n500_m50.txt,0.1,15,7653.6,7696.55,7624.14,38.0415,10.036,0.4696
large,alpha_sweep,MDG-a_6_n500_m50.txt,0.1,15,7671.12,7700.44,7652.25,25.7405,10.037,0.4696
large,alpha_sweep,MDG-a_9_n500_m50.txt,0.1,15,7707.93,7725.68,7681.79,23.1148,10.025,0.4696
large,alpha_sweep,MDG-a_13_n500_m50.txt,0.1,15,7660.04,7710.71,7630.49,44.0835,10.023,0.4696
large,alpha_sweep,MDG-a_2_n500_m50.txt,0.25,15,7673.09,7692.59,7638.66,29.9047,10.041,0.3319
large,alpha_sweep,MDG-a_5_n500_m50.txt,0.25,15,7676.62,7710.07,7634.55,38.4897,10.021,0.3319
large,alpha_sweep,MDG-a_6_n500_m50.txt,0.25,15,7670.73,7692.24,7645.36,23.678,10.022,0.3319
large,alpha_sweep,MDG-a_9_n500_m50.txt,0.25,15,7685.75,7705.62,7658.79,24.2052,10.031,0.3319
large,alpha_sweep,MDG-a_13_n500_m50.txt,0.25,15,7712.72,7723.99,7692.15,17.8414,10.047,0.3319
large,alpha_sweep,MDG-a_2_n500_m50.txt,0.5,15,7667.18,7728.36,7632.04,53.1784,10.032,0.5106
large,alpha_sweep,MDG-a_5_n500_m50.txt,0.5,15,7637.77,7648.01,7618.51,16.6881,10.029,0.5106
large,alpha_sweep,MDG-a_6_n500_m50.txt,0.5,15,7666.24,7682.09,7658.21,13.7269,10.034,0.5106
large,alpha_sweep,MDG-a_9_n500_m50.txt,0.5,15,7661.38,7707.48,7619.5,44.1415,10.035,0.5106
large,alpha_sweep,MDG-a_13_n500_m50.txt,0.5,15,7717.66,7733.08,7696.77,18.7629,10.022,0.5106
large,alpha_sweep,MDG-a_2_n500_m50.txt,0.75,15,7665.19,7684.11,7648.43,17.9372,10.026,0.2635
large,alpha_sweep,MDG-a_5_n500_m50.txt,0.75,15,7662.49,7690.92,7646.69,24.6695,10.039,0.2635
large,alpha_sweep,MDG-a_6_n500_m50.txt,0.75,15,7696.68,7749.3,7665.39,45.8416,10.023,0.2635
large,alpha_sweep,MDG-a_9_n500_m50.txt,0.75,15,7711.12,7735.93,7690.96,22.8418,10.029,0.2635
large,alpha_sweep,MDG-a_13_n500_m50.txt,0.75,15,7709.78,7720.29,7701.16,9.7031,10.029,0.2635
large,alpha_sweep,MDG-a_2_n500_m50.txt,0.9,15,7705.35,7756.24,7649.89,53.3217,10.026,0.1094
large,alpha_sweep,MDG-a_5_n500_m50.txt,0.9,15,7676.13,7755.23,7610.7,73.2292,10.036,0.1094
large,alpha_sweep,MDG-a_6_n500_m50.txt,0.9,15,7682.63,7726.58,7638.54,44.0202,10.029,0.1094
large,alpha_sweep,MDG-a_9_n500_m50.txt,0.9,15,7683.52,7711.79,7642.04,36.7035,10.022,0.1094
large,alpha_sweep,MDG-a_13_n500_m50.txt,0.9,15,7757.29,7780.22,7725.98,28.0757,10.028,0.1094
large,alpha_sweep,MDG-a_2_n500_m50.txt,-1,15,7670.65,7710.04,7607.59,55.1743,10.029,0.3714
large,alpha_sweep,MDG-a_5_n500_m50.txt,-1,15,7653.61,7680.73,7631.45,25.0116,10.021,0.3714
large,alpha_sweep,MDG-a_6_n500_m50.txt,-1,15,7675.48,7684.24,7663.42,10.7952,10.039,0.3714
large,alpha_sweep,MDG-a_9_n500_m50.txt,-1,15,7694.11,7728.01,7637.94,48.9933,10.036,0.3714
large,alpha_sweep,MDG-a_13_n500_m50.txt,-1,15,7709.92,7732.33,7698.01,19.4204,10.031,0.3714
large,tenure_sweep,MDG-a_2_n500_m50.txt,0.9,5,7709.84,7756.24,7679.13,40.8793,10.038,0.3623
large,tenure_sweep,MDG-a_5_n500_m50.txt,0.9,5,7650.8,7711.42,7578.52,67.212,10.041,0.3623
large,tenure_sweep,MDG-a_6_n500_m50.txt,0.9,5,7686.35,7726.58,7651.19,37.9499,10.011,0.3623
large,tenure_sweep,MDG-a_9_n500_m50.txt,0.9,5,7677.46,7732.88,7602.78,67.1558,10.019,0.3623
large,tenure_sweep,MDG-a_13_n500_m50.txt,0.9,5,7697.31,7740.16,7619.12,67.8186,10.034,0.3623
large,tenure_sweep,MDG-a_2_n500_m50.txt,0.9,10,7692.34,7756.24,7632.42,62.0059,10.022,0.0906
large,tenure_sweep,MDG-a_5_n500_m50.txt,0.9,10,7665.4,7755.23,7578.52,88.3919,10.026,0.0906
large,tenure_sweep,MDG-a_6_n500_m50.txt,0.9,10,7700.69,7726.58,7684.76,22.617,10.023,0.0906
large,tenure_sweep,MDG-a_9_n500_m50.txt,0.9,10,7697.42,7722.8,7672.74,25.0372,10.034,0.0906
large,tenure_sweep,MDG-a_13_n500_m50.txt,0.9,10,7771.1,7780.22,7764.55,8.1434,10.024,0.0906
large,tenure_sweep,MDG-a_2_n500_m50.txt,0.9,15,7705.35,7756.24,7649.89,53.3217,10.02,0.1475
large,tenure_sweep,MDG-a_5_n500_m50.txt,0.9,15,7676.13,7755.23,7610.7,73.2292,10.039,0.1475
large,tenure_sweep,MDG-a_6_n500_m50.txt,0.9,15,7682.63,7726.58,7638.54,44.0202,10.028,0.1475
large,tenure_sweep,MDG-a_9_n500_m50.txt,0.9,15,7683.52,7711.79,7642.04,36.7035,10.037,0.1475
large,tenure_sweep,MDG-a_13_n500_m50.txt,0.9,15,7757.29,7780.22,7725.98,28.0757,10.029,0.1475
large,tenure_sweep,MDG-a_2_n500_m50.txt,0.9,20,7667.46,7755.63,7618.81,76.4912,10.022,0.1804
large,tenure_sweep,MDG-a_5_n500_m50.txt,0.9,20,7682.78,7755.23,7630.66,64.7256,10.021,0.1804
