group,instance,alpha,run,seed,of,elapsed_s
large,MDG-a_5_n500_m50.txt,0.1,0,42,7668.68,10.251
large,MDG-a_5_n500_m50.txt,0.1,1,43,7656.0,10.024
large,MDG-a_5_n500_m50.txt,0.1,2,44,7643.29,10.583
large,MDG-a_6_n500_m50.txt,0.1,0,42,7752.31,10.08
large,MDG-a_6_n500_m50.txt,0.1,1,43,7717.46,10.351
large,MDG-a_6_n500_m50.txt,0.1,2,44,7683.27,10.066
large,MDG-a_9_n500_m50.txt,0.1,0,42,7706.34,10.03
large,MDG-a_9_n500_m50.txt,0.1,1,43,7651.97,10.314
large,MDG-a_9_n500_m50.txt,0.1,2,44,7679.01,10.075
large,MDG-a_13_n500_m50.txt,0.1,0,42,7715.05,10.448
large,MDG-a_13_n500_m50.txt,0.1,1,43,7739.22,10.228
large,MDG-a_13_n500_m50.txt,0.1,2,44,7739.85,10.765
large,MDG-a_2_n500_m50.txt,0.25,0,42,7695.06,10.886
large,MDG-a_2_n500_m50.txt,0.25,1,43,7671.19,10.634
large,MDG-a_2_n500_m50.txt,0.25,2,44,7706.87,10.668
large,MDG-a_5_n500_m50.txt,0.25,0,42,7654.25,11.055
large,MDG-a_5_n500_m50.txt,0.25,1,43,7681.31,10.545
large,MDG-a_5_n500_m50.txt,0.25,2,44,7635.6,10.719
large,MDG-a_6_n500_m50.txt,0.25,0,42,7681.31,11.541
large,MDG-a_6_n500_m50.txt,0.25,1,43,7653.34,11.054
large,MDG-a_6_n500_m50.txt,0.25,2,44,7687.29,11.744
large,MDG-a_9_n500_m50.txt,0.25,0,42,7732.64,10.823
large,MDG-a_9_n500_m50.txt,0.25,1,43,7714.41,10.665
large,MDG-a_9_n500_m50.txt,0.25,2,44,7722.63,11.336
large,MDG-a_13_n500_m50.txt,0.25,0,42,7752.67,10.218
large,MDG-a_13_n500_m50.txt,0.25,1,43,7693.4,10.763
large,MDG-a_13_n500_m50.txt,0.25,2,44,7697.91,11.389
large,MDG-a_2_n500_m50.txt,0.5,0,42,7658.65,10.549
large,MDG-a_2_n500_m50.txt,0.5,1,43,7635.4,11.735
large,MDG-a_2_n500_m50.txt,0.5,2,44,7742.57,11.192
large,MDG-a_5_n500_m50.txt,0.5,0,42,7644.91,10.971
large,MDG-a_5_n500_m50.txt,0.5,1,43,7635.57,10.447
large,MDG-a_5_n500_m50.txt,0.5,2,44,7633.6,10.4
large,MDG-a_6_n500_m50.txt,0.5,0,42,7629.08,11.265
large,MDG-a_6_n500_m50.txt,0.5,1,43,7645.96,10.015
large,MDG-a_6_n500_m50.txt,0.5,2,44,7677.03,12.153
large,MDG-a_9_n500_m50.txt,0.5,0,42,7706.05,10.539
large,MDG-a_9_n500_m50.txt,0.5,1,43,7635.3,11.486
large,MDG-a_9_n500_m50.txt,0.5,2,44,7654.81,11.0
large,MDG-a_13_n500_m50.txt,0.5,0,42,7701.78,11.741
large,MDG-a_13_n500_m50.txt,0.5,1,43,7727.9,11.231
large,MDG-a_13_n500_m50.txt,0.5,2,44,7710.11,10.047
large,MDG-a_2_n500_m50.txt,0.75,0,42,7609.5,11.026
large,MDG-a_2_n500_m50.txt,0.75,1,43,7651.71,10.125
large,MDG-a_2_n500_m50.txt,0.75,2,44,7616.92,11.053
large,MDG-a_5_n500_m50.txt,0.75,0,42,7643.21,10.996
large,MDG-a_5_n500_m50.txt,0.75,1,43,7645.36,10.445
large,MDG-a_5_n500_m50.txt,0.75,2,44,7645.54,12.227
large,MDG-a_6_n500_m50.txt,0.75,0,42,7638.89,10.641
large,MDG-a_6_n500_m50.txt,0.75,1,43,7618.73,12.238
large,MDG-a_6_n500_m50.txt,0.75,2,44,7689.14,10.156
large,MDG-a_9_n500_m50.txt,0.75,0,42,7643.43,11.428
large,MDG-a_9_n500_m50.txt,0.75,1,43,7712.31,10.938
large,MDG-a_9_n500_m50.txt,0.75,2,44,7669.41,10.73
