instance,group,algorithm,run,seed,alpha,tabu_tenure,of,elapsed_s
MDG-a_5_n500_m50.txt,large,GRASP+TS,0,42,0.1,10,7748.51,30.027
MDG-a_5_n500_m50.txt,large,GRASP+TS,1,43,0.1,10,7687.14,30.014
MDG-a_5_n500_m50.txt,large,GRASP+TS,2,44,0.1,10,7755.23,30.038
MDG-a_5_n500_m50.txt,large,GRASP+TS,3,45,0.1,10,7755.23,30.009
MDG-a_5_n500_m50.txt,large,GRASP+TS,4,46,0.1,10,7749.92,30.031
MDG-a_6_n500_m50.txt,large,GRASP,0,42,0.1,,7752.31,30.351
MDG-a_6_n500_m50.txt,large,GRASP,1,43,0.1,,7717.46,30.597
MDG-a_6_n500_m50.txt,large,GRASP,2,44,0.1,,7694.65,30.213
MDG-a_6_n500_m50.txt,large,GRASP,3,45,0.1,,7681.87,30.34
MDG-a_6_n500_m50.txt,large,GRASP,4,46,0.1,,7714.53,30.063
MDG-a_6_n500_m50.txt,large,GRASP+TS,0,42,0.1,10,7770.48,30.032
MDG-a_6_n500_m50.txt,large,GRASP+TS,1,43,0.1,10,7754.55,30.023
MDG-a_6_n500_m50.txt,large,GRASP+TS,2,44,0.1,10,7746.24,30.043
MDG-a_6_n500_m50.txt,large,GRASP+TS,3,45,0.1,10,7734.59,30.045
MDG-a_6_n500_m50.txt,large,GRASP+TS,4,46,0.1,10,7764.35,30.008
MDG-a_9_n500_m50.txt,large,GRASP,0,42,0.1,,7716.37,30.197
MDG-a_9_n500_m50.txt,large,GRASP,1,43,0.1,,7749.4,30.213
MDG-a_9_n500_m50.txt,large,GRASP,2,44,0.1,,7728.95,30.045
MDG-a_9_n500_m50.txt,large,GRASP,3,45,0.1,,7731.96,30.617
MDG-a_9_n500_m50.txt,large,GRASP,4,46,0.1,,7727.54,30.135
MDG-a_9_n500_m50.txt,large,GRASP+TS,0,42,0.1,10,7751.74,30.019
MDG-a_9_n500_m50.txt,large,GRASP+TS,1,43,0.1,10,7729.49,30.028
MDG-a_9_n500_m50.txt,large,GRASP+TS,2,44,0.1,10,7758.44,30.037
MDG-a_9_n500_m50.txt,large,GRASP+TS,3,45,0.1,10,7719.97,30.03
MDG-a_9_n500_m50.txt,large,GRASP+TS,4,46,0.1,10,7747.96,30.019
MDG-a_13_n500_m50.txt,large,GRASP,0,42,0.1,,7724.21,30.382
MDG-a_13_n500_m50.txt,large,GRASP,1,43,0.1,,7739.22,30.394
MDG-a_13_n500_m50.txt,large,GRASP,2,44,0.1,,7739.85,30.213
MDG-a_13_n500_m50.txt,large,GRASP,3,45,0.1,,7748.34,30.1
MDG-a_13_n500_m50.txt,large,GRASP,4,46,0.1,,7736.96,30.66
MDG-a_13_n500_m50.txt,large,GRASP+TS,0,42,0.1,10,7785.68,30.011
MDG-a_13_n500_m50.txt,large,GRASP+TS,1,43,0.1,10,7709.76,30.048
MDG-a_13_n500_m50.txt,large,GRASP+TS,2,44,0.1,10,7777.02,30.009
